split,group_type,group_value,support,positives,negatives,auroc,auroc_inverted,accuracy_thr05,precision_thr05,recall_thr05,f1_thr05,fpr_thr05,tn,fp,fn,tp
test,overall,ALL,3171,1479,1692,0.815380256610674,0.18461974338932605,0.7414064963733837,0.7528779739063699,0.6632860040567952,0.7052480230050323,0.19030732860520094,1370,322,498,981
test,provenance_class,FakeVideo-FakeAudio,1641,0,1641,,,0.8159658744667886,0.0,0.0,0.0,0.18403412553321147,1339,302,0,0
test,provenance_class,FakeVideo-RealAudio,1428,1428,0,,,0.6596638655462185,1.0,0.6596638655462185,0.7949367088607595,,0,0,486,942
test,provenance_class,RealVideo-FakeAudio,51,51,0,,,0.7647058823529411,1.0,0.7647058823529411,0.8666666666666667,,0,0,12,39
test,provenance_class,RealVideo-RealAudio,51,0,51,,,0.6078431372549019,0.0,0.0,0.0,0.39215686274509803,31,20,0,0
val,overall,ALL,3157,1493,1664,0.8212032755422742,0.17879672445772582,0.753880266075388,0.7699849170437406,0.6838580040187542,0.7243703440936502,0.18329326923076922,1359,305,472,1021
val,provenance_class,FakeVideo-FakeAudio,1619,0,1619,,,0.8196417541692402,0.0,0.0,0.0,0.18035824583075974,1327,292,0,0
val,provenance_class,FakeVideo-RealAudio,1448,1448,0,,,0.6788674033149171,1.0,0.6788674033149171,0.8087206910736322,,0,0,465,983
val,provenance_class,RealVideo-FakeAudio,45,45,0,,,0.8444444444444444,1.0,0.8444444444444444,0.9156626506024096,,0,0,7,38
val,provenance_class,RealVideo-RealAudio,45,0,45,,,0.7111111111111111,0.0,0.0,0.0,0.28888888888888886,32,13,0,0
