split,group_type,group_value,support,positives,negatives,auroc,auroc_inverted,accuracy_thr05,precision_thr05,recall_thr05,f1_thr05,fpr_thr05,tn,fp,fn,tp
test,overall,ALL,3171,3069,102,0.8968783342597385,0.10312166574026156,0.9826553137811416,0.9845659163987138,0.9977191267513849,0.9910988833144522,0.47058823529411764,54,48,7,3062
test,provenance_class,FakeVideo-FakeAudio,1641,1641,0,,,1.0,1.0,1.0,1.0,,0,0,0,1641
test,provenance_class,FakeVideo-RealAudio,1428,1428,0,,,0.9950980392156863,1.0,0.9950980392156863,0.9975429975429976,,0,0,7,1421
test,provenance_class,RealVideo-FakeAudio,51,0,51,,,0.058823529411764705,0.0,0.0,0.0,0.9411764705882353,3,48,0,0
test,provenance_class,RealVideo-RealAudio,51,0,51,,,1.0,0.0,0.0,0.0,0.0,51,0,0,0
val,overall,ALL,3157,3067,90,0.8996268521537514,0.1003731478462486,0.9835286664554957,0.9855072463768116,0.9977176393870232,0.9915748541801686,0.5,45,45,7,3060
val,provenance_class,FakeVideo-FakeAudio,1619,1619,0,,,1.0,1.0,1.0,1.0,,0,0,0,1619
val,provenance_class,FakeVideo-RealAudio,1448,1448,0,,,0.9951657458563536,1.0,0.9951657458563536,0.9975770162686051,,0,0,7,1441
val,provenance_class,RealVideo-FakeAudio,45,0,45,,,0.0,0.0,0.0,0.0,1.0,0,45,0,0
val,provenance_class,RealVideo-RealAudio,45,0,45,,,1.0,0.0,0.0,0.0,0.0,45,0,0,0
