split,group_type,group_value,support,positives,negatives,auroc,auroc_inverted,accuracy_thr05,precision_thr05,recall_thr05,f1_thr05,fpr_thr05,tn,fp,fn,tp
test,overall,ALL,3171,1479,1692,0.8114333529939244,0.1885666470060756,0.738883632923368,0.7533073929961089,0.6544962812711291,0.7004341534008683,0.18735224586288415,1375,317,511,968
test,provenance_class,FakeVideo-FakeAudio,1641,0,1641,,,0.8293723339427178,0.0,0.0,0.0,0.17062766605728213,1361,280,0,0
test,provenance_class,FakeVideo-RealAudio,1428,1428,0,,,0.6505602240896359,1.0,0.6505602240896359,0.7882901994060246,,0,0,499,929
test,provenance_class,RealVideo-FakeAudio,51,51,0,,,0.7647058823529411,1.0,0.7647058823529411,0.8666666666666667,,0,0,12,39
test,provenance_class,RealVideo-RealAudio,51,0,51,,,0.27450980392156865,0.0,0.0,0.0,0.7254901960784313,14,37,0,0
val,overall,ALL,3157,1493,1664,0.8166358873460766,0.18336411265392344,0.7405764966740577,0.7608359133126935,0.6584058941728065,0.7059245960502692,0.1856971153846154,1355,309,510,983
val,provenance_class,FakeVideo-FakeAudio,1619,0,1619,,,0.8313773934527486,0.0,0.0,0.0,0.1686226065472514,1346,273,0,0
val,provenance_class,FakeVideo-RealAudio,1448,1448,0,,,0.6540055248618785,1.0,0.6540055248618785,0.7908141962421712,,0,0,501,947
val,provenance_class,RealVideo-FakeAudio,45,45,0,,,0.8,1.0,0.8,0.8888888888888888,,0,0,9,36
val,provenance_class,RealVideo-RealAudio,45,0,45,,,0.2,0.0,0.0,0.0,0.8,9,36,0,0
