split,group_type,group_value,support,positives,negatives,auroc,auroc_inverted,accuracy_thr05,precision_thr05,recall_thr05,f1_thr05,fpr_thr05,tn,fp,fn,tp
test,overall,ALL,3171,1479,1692,0.8114333529939244,0.1885666470060756,0.73919899085462,0.7496171516079633,0.6619337390128465,0.7030520646319569,0.19326241134751773,1365,327,500,979
test,provenance_class,FakeVideo-FakeAudio,1641,0,1641,,,0.8232784887263863,0.0,0.0,0.0,0.17672151127361366,1351,290,0,0
test,provenance_class,FakeVideo-RealAudio,1428,1428,0,,,0.657563025210084,1.0,0.657563025210084,0.7934093789607097,,0,0,489,939
test,provenance_class,RealVideo-FakeAudio,51,51,0,,,0.7843137254901961,1.0,0.7843137254901961,0.8791208791208791,,0,0,11,40
test,provenance_class,RealVideo-RealAudio,51,0,51,,,0.27450980392156865,0.0,0.0,0.0,0.7254901960784313,14,37,0,0
val,overall,ALL,3157,1493,1664,0.8166358873460766,0.18336411265392344,0.7402597402597403,0.7547312641937926,0.667782987273945,0.7085998578535891,0.19471153846153846,1340,324,496,997
val,provenance_class,FakeVideo-FakeAudio,1619,0,1619,,,0.8227300802964793,0.0,0.0,0.0,0.17726991970352068,1332,287,0,0
val,provenance_class,FakeVideo-RealAudio,1448,1448,0,,,0.6636740331491713,1.0,0.6636740331491713,0.7978414279784143,,0,0,487,961
val,provenance_class,RealVideo-FakeAudio,45,45,0,,,0.8,1.0,0.8,0.8888888888888888,,0,0,9,36
val,provenance_class,RealVideo-RealAudio,45,0,45,,,0.17777777777777778,0.0,0.0,0.0,0.8222222222222222,8,37,0,0
